text,hate speech
Easyjet quiere duplicar el número de mujeres piloto' Verás tú para aparcar el avión.. ,1
El gobierno debe crear un control estricto de inmigración en las zonas fronterizas con Colombia por q después del 20-8querrán venir en masa,1
Yo veo a mujeres destruidas por acoso laboral y callejero. Otras con depresión debido a violación sexual o maltrato físico. Y conocí a varias que se suicidaron por este tipo de comportamientos machistas. Vas a seguir con tu show pobre? ,0
"— Yo soy respetuoso con los demás, sólamente les recuerdo lo que son. Y si son escoria no es culpa mía. ... — ¡Claro que lo sé! ¿¡Por quién me tomas!?",0
Antonio Caballero y como ser de mal gusto e ignorante a la vez. Claro que no es lo mismo acoso sexual y violación pero hay varias conductas que componen la violencia sexual.,0
 Cuánto hijo de puta sobra en el mundo...,0
Pablo Casado debería estudiar un máster en inmigración ,0
vos me haces eso te pego una patada en la cara ,0
#Noticiasdelalinea: Detienen en Guatapanal motocicleta y nacional haitiano indocumentado ,0
 Llora te lo.mereces por zorra,1
Padres indocumentados realizaron una huelga de hambre para pedir ser liberados  ,0
No sé porque hay personas que piensan que todos los inmigrantes son delincuentes,0
A Tomi Alegre JAKSKKSJSJ — Cállate q tdv estoy de duelo puta ,0
  Callate gallina puta y cntala cmo quieras!! Bolso culo facil!! Jajajaaj hijooo,1
Albondigas! Casi al estilo de las fodongas pero en el Gabacho.,0
"Todos: -#NoTodosLosHombres -PPK, presidente de lujo -Perú no va al mundial 2017: Já, ilusos.",0
El juez cita a declarar a la menor que denunció abusos por parte de jugadores de la #Arandina  ,0
VAMOOOO LA PUTA MADRE SE LO MERECÍA TANTO ESFUERZO Y HABER PASADO TANTOS TELÉFONOS NECESITÁBAMOS ESTE DESCANSO #SoltarteNoEstáEnMisPlanesMica,0
Pd a ver si cierran de una puta vez Tv3 que no sé todavía qué servicio público ofrece para que merezca dinero de nuestros impuestos o solo hace daño que roben unos?,0
"Yo estaba claro que esta vida de trabajador inmigrante fundido máquina iba a ser difícil. Y es verdad, es difícil jajaja",0
"Mira de vd estoy hasta la polla ya, no aguanto más tonterías",0
  No tienes ni puta idea.la melodia es mi novia es sevillista...una puta mas.,1
  Diappoler* jajaja cállate Pepe niño polla Si me han llenado de notificaciónes jajajajaja,0
"¿Mojigatas, moralinas? ¿Neta? ¿Por estar en contra del acoso sexual y la violación en el trabajo?",0
"Si cualquier cosa es violación o acoso, se minimizan la violación y el acoso. Por lo tanto, pierden las víctimas de las mierdas que se dedican a violar y/o acosar.",0
"Que divertido que consideres que una piba por estar con uno con novia es una zorra... si mal no recuerdo tambien te habias metido con uno CON novia, no hay que hacer lo que no nos gusta que nos hagan :person_gesturing_OK:  :person_gesturing_OK:  :person_gesturing_NO: ",0
"Odio los viejos que se creen que se merecen todo, hijo de puta tú lo que te mereces es una tumba.",0
 Tu eres demasiado perra  :face_with_tears_of_joy: ,1
  El papapapartido imimimporta... callate tartaja!!! Come polla de madeira,0
  callate la puta boca gordo almagro,0
"Es un gran regalo???? Y una polla un regalo, aquí no le han regalado nada. Se lo ha currado muchísimo, ya vale con las tonterías #OTGala8",0
me saqué un 9 en el final de biología para vos hija de puta q no me quisiste promocionar por unas centésimas EN TU CARA Y EN TU CANCHA,0
 Puteria y perico también somos almas gemelas excepto que tu eres puta desde él vientre.,1
" eres una verdadera cagada, puto, mierda entre la mierda, por eso a los putos argentos, sudakas miserables, se le aborrece, por escorias como mico sorete mal parido",1
I added a video to a  playlist  El Güero Bastidas - Enigma Norteño (2011),0
   asi le digo a tu mami callate perra,1
 Cállate y ven ya joder hostia puta,0
"Dos amigos hablando: -Raúl, q me das por mi mujer? -Nada -Trato hecho.",1
" Callate perra, re despierta estoy",1
